TARIFF	DESCRIPTION EN	DESCRIPTION TH	%	S	REMARK
SECTION 1	LIVE ANIMALS; ANIMAL PRODUCTS	สัตว์มีชีวิต ผลิตภัณฑ์จากสัตว์	
1208	Flours and meals of oil seeds or oleaginous fruits, other than those of mustard.	แป้งและแป้งหยาบ ที่ทำจากเมล็ดพืชและผลไม้ ที่มีน้ำมัน นอกจากที่ทำจากมัสตาร์ด	
1209	Seeds, fruit and spores, of a kind used for sowing.	เมล็ด ผลและสปอร์ ชนิดที่ใช้สำหรับการเพาะปลูก	
1210	Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin.	ดอกฮ้อป สดหรือแห้ง จะบด ทำเป็นผง หรือทำเป้นเพลเลต หรือไม่ก็ตาม รวมทั้งผงยางดอกฮ้อป (ลูปูลิน)	
1211	Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh or dried, whether or not cut, crushed or powdered.	พรรณไม้และส่วนของพรรณไม้ (รวมถึงเมล็ดและผล) ชนิดที่ใช้ประโยชน์หลักในการทำเครื่องหอม ในทางเภสัชกรรมหรือสำหรับฆ่าแมลง ฆ่ารา หรือวัตถุประสงค์ที่คล้ายกัน สดหรือแห้ง จะตัด บด หรือทำเป้นผงหรือไม่ก็ตาม	
1212	Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegettable products (including unroasted chicory roots of the variety Cichorium intybus sativum) of a kind used primarily for human consumption, not elsewhere specified or included.	โลคัสต์บีน สาหร่ายทะเลและสาหร่ายอื่นๆ ชูการ์บีตและอ้อย สด แช่เย็น เย็นจนแข็ง หรือแห้ง จะบดหรือไม่ก็ตาม เมล็ดแข็งและเนื้อในของเมล็ดผลไม้และผลิตภัณฑ์อื่นๆ จากพืชผัก (รวมถึงราชิโครี่ พันธุ์ชิโคเรี่ยมอินไทบัสซาติวัมที่ไม่ได้คั่ว) ชนิดที่ใช้ประโยชน์หลักสำหรับมนุษย์บริโภคและไม่ได้ระบุหรือรวมไว้ในที่อื่น	
1213	Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets.	ฟางและแกลบของธัญพืชที่ไม่ได้จัดทำ จะสับ บด อัด หรือทำเป็นเพลเลตหรือไม่ก็ตาม	
1214	Swedes, mangolds, fodder roots, hay, luncerne 9alfalfa), clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of pellets.	สวีด แมงโกลด์ รากพืชที่ใช้เป็นอาหารสัตว์ เฮย์ ลูเซอร์น (แอลฟาลฟา) โคลเวอร์ เซนฟอน เคลที่ใช้เป็นอาหารสัตว์ ลูพีน เวตช์ และผลิตภัณฑ์ที่คล้ายกันที่ใช้เป็นอาหารสัตว์ จะทำเป็นเพลเลตหรือไม่ก็ตาม	
 CHAPTER 13	Lac; gums, resins and other vegetable saps and extracts.	ครั่ง รวมทั้งกัม เรซิน น้ำเลี้ยง (แซป) และสิ่งสกัดอื่น ๆ จากพืช	
1301	Lac; natural gums, resins, gum-resins and oleoresins (for example, blsams).	ครั่ง กัมธรรมชาติ เรซิน กัมเรซิน และออลีโอเรซิน (เช่นน้ำหอม)	
1302	Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other mucilages and thickeners, whether or not modified, derived from vegetable products
- Vegetable saps and extracts :	น้ำเลี้ยง (แซป) และสิ่งสกัดจากพืช สารจำพวกเพกติกเกลือของกรดเพกตินิก (เพกติเนต) ละเกลือของกรดเพกติก (เพกเตต) รวมทั้งวุ้นที่ได้จากสาหร่ายทะเลและวุ้นและยางข้นอื่นๆ ที่ได้จากผลิตภัณฑ์จากพืช จะดัดแปลงหรือไม่ก็ตาม
- น้ำเลี้ยงและสิ่งสกัดจากพืช	
 CHAPTER 14	Vegetable plaiting materials; vegetable products not elsewhere specified or included.	วัตถุจากพืชที่ใช้ถักสาน ผลิตผลจากพืชที่ไม่ได้ระบุหรือรวมไว้ในที่อื่น	
1401	Vegetable materials of a kind used primarily for plaiting (for example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark).	วัตถุจากพืชชนิดที่ใช้ประโยชน์หลักสำหรับถักสาน (เช่น ไม้ไผ่ หวาย อ้อ กก ปาล์ม ฟางของธัญพืชที่ทำให้สะอาด ฟอก หรือย้อมสี และ เปลือกต้นไลม์)	
1404	Vegetable products not elsewhere spectfied or included.	ผลผลิตจากพืช ซึ่งไม่ได้ระบุหรือรวมไว้ในที่อื่น	
SECTION 3	ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES	ไขมันและน้ำมันที่ได้จากสัตว์หรือพืช และผลิตภัณฑ์ที่แยกได้จากไขมันและน้ำมันดังกล่าว ไขมันที่บริโภคได้ซึ่งจัดทำแล้ว ไขที่ได้จากสัตว์หรือพืช	
